,rank,singer,title,url,album,genre,lang,views,lyrics
60,61,The Weeknd,Die For You,https://www.letras.com/the-weeknd/die-for-you/,Starboy,rb,en,536192.0,"I'm findin' ways to articulate the feeling I'm goin' through I just can't say I don't love you 'Cause I love you, yeah It's hard for me to communicate the thoughts that I hold But tonight I'm gon' let you know Let me tell the truth Baby, let me tell the truth, yeah You know what I'm thinkin', see it in your eyes You hate that you want me, hate it when you cry You're scared to be lonely, 'specially in the night I'm scared that I'll miss you, happens every time I don't want this feelin', I can't afford love I try to find a reason to pull us apart It ain't workin' 'cause you're perfect And I know that you're worth it I can't walk away, oh! Even though we're going through it And it makes you feel alone Just know that I would die for you Baby, I would die for you, yeah The distance and the time between us It'll never change my mind, 'cause baby I would die for you Baby, I would die for you, yeah I'm finding ways to manipulate the feelin' you're goin' through But baby girl, I'm not blamin' you Just don't blame me, too, yeah 'Cause I can't take this pain forever And you won't find no one that's better 'Cause I'm right for you, babe I think I'm right for you, babe You know what I'm thinkin', see it in your eyes You hate that you want me, hate it when you cry It ain't workin' 'cause you're perfect And I know that you're worth it I can't walk away, oh! Even though we're going through it And it makes you feel alone Just know that I would die for you Baby, I would die for you, yeahr The distance and the time between us It'll never change my mind, 'cause baby I would die for you Baby, I would die for you, yeah I would die for you, I would lie for you Keep it real with you, I would kill for you, my baby I'm just sayin', yeah I would die for you, I would lie for you Keep it real with you, I would kill for you, my baby Na-na-na, na-na-na, na-na-na Even though we're going through it And it makes you feel alone Just know that I would die for you Baby, I would die for you, yeah The distance and the time between us It'll never change my mind, 'cause baby I would die for you Baby, I would die for you, yeah babe (Die for you)"
61,62,Denise de Kalafe,Señora... Señora... Señora,https://www.letras.com/denisse-de-kalafe/849263/,10 Exitos,,es,261136.0,"A ti, que me diste tu vida, tu amor y tu espacio A ti, que cargaste en tu vientre dolor y cansancio A ti, que peleaste con uñas y dientes Valiente en tu casa y en cualquier lugar A ti, rosa fresca de abril A ti, mi fiel querubín A ti te dedico mis versos Mi ser, mis victorias A ti, mis respetos Señora, señora, señora A ti, mi guerrera invencible A ti, luchadora incansable A ti, mi amiga constante De todas las horas Tu nombre es un nombre común Como las margaritas Siempre en mi boca Presencia constante en mi mente Y para no hacer tanto alarde Esta mujer de quien hablo Es linda, mi amiga gaviota Su nombre es mi madre A ti, que me diste tu vida, tu amor y tu espacio A ti, que cargaste en tu vientre dolor y cansancio A ti, que peleaste con uñas y dientes Valiente en tu casa en cualquier lugar A ti, rosa fresca de abril A ti, mi fiel querubín A ti te dedico mis versos Mi ser, mis victorias A ti, mis respetos Señora, señora, señora Y para no hacer tanto alarde Esta mujer de quien hablo Es linda, mi amiga gaviota Su nombre es mi madre"
62,63,Queen,Bohemian Rhapsody,https://www.letras.com/queen/64295/,A Night At The Opera  ,progressivo,en,1711863.0,"Is this the real life? Is this just fantasy? Caught in a landslide No escape from reality Open your eyes Look up to the skies and see I'm just a poor boy I need no sympathy Because I'm easy come, easy go Little high, little low Anyway the wind blows Doesn't really matter to me To me Mama, just killed a man Put a gun against his head Pulled my trigger, now he's dead Mama, life had just begun But now I've gone and thrown it all away Mama! Ooh! Didn't mean to make you cry If I'm not back again this time tomorrow Carry on, carry on As if nothing really matters Too late, my time has come Sends shivers down my spine Body's aching all the time Goodbye, everybody I've got to go Gotta leave you all behind And face the truth Mama! Ooh! (Anyway the wind blows) I don't wanna die I sometimes wish I'd never been born at all I see a little silhouetto of a man Scaramouche! Scaramouche! Will you do the fandango? Thunderbolt and lightning Very, very frightening me! Galileo! Galileo! Galileo! Galileo! Galileo, Figaro! Magnifico! I'm just a poor boy and nobody loves me (He's just a poor boy from a poor family) (Spare him his life, from this monstrosity) Easy come, easy go Will you let me go? Bismillah! No, we will not let you go! (Let him go!) Bismillah! We will not let you go! (Let him go!) Bismillah! We will not let you go! (Let me go!) Will not let you go! (Let me go!) Never, never let you go! Never, never, never let me go! No, no, no, no, no, no, no! Oh, mamma mia, mamma mia! Mamma mia, let me go! Beelzebub has a devil put aside for me! For me! For me! So you think you can stone me and spit in my eye? So you think you can love me and leave me to die? Oh, baby! Can't do this to me, baby! Just gotta get out Just gotta get right outta here! Oh, yeah! Oh, yeah! Nothing really matters Anyone can see Nothing really matters Nothing really matters to me Anyway the wind blows"
63,64,Fool's Garden,Lemon Tree,https://www.letras.com/fools-garden/827270/,,soft-rock,en,124828.0,"I'm sitting here in the boring room It's just another rainy Sunday afternoon I'm wasting my time, I got nothing to do I'm hanging around, I'm waiting for you But nothing ever happens and I wonder I'm driving around in my car I'm driving too fast, I'm driving too far I'd like to change my point of view I feel so lonely, I'm waiting for you But nothing ever happens and I wonder I wonder how, I wonder why Yesterday you told me 'bout the blue blue sky And all that I can see is just a yellow lemon-tree I'm turning my head up and down I'm turning, turning, turning, turning, turning around And all that I can see is just another lemon-tree Sing Da-da-da-da-da-di-da-da Da-da-da-da-di-da-da Da-di-di-da I'm sitting here, I miss the power I'd like to go out, taking a shower But there's a heavy cloud inside my head I feel so tired, put myself into bed While nothing ever happens and I wonder Isolation is not good for me Isolation, I don't want to sit on the lemon-tree I'm steppin' around in the desert of joy Maybe anyhow I'll get another toy And everything will happen and you wonder I wonder how, I wonder why Yesterday you told me 'bout the blue blue sky And all that I can see is just another lemon-tree I'm turning my head up and down I'm turning, turning, turning, turning, turning around And all that I can see is just a yellow lemon-tree And I wonder, wonder I wonder how, I wonder why Yesterday you told me 'bout blue-blue sky And all that I can see And all that I can see And all that I can see Is just a yellow lemon tree"
64,65,Coldplay,The Scientist,https://www.letras.com/coldplay/64278/,A Rush Of Blood To The Head,poprock,en,943014.0,"Come up to meet you, tell you I'm sorry You don't know how lovely you are I had to find you, tell you I need you And tell you I set you apart Tell me your secrets and ask me your questions Oh, let's go back to the start Running in circles, coming up tails Heads on a science apart Nobody said it was easy It's such a shame for us to part Nobody said it was easy No one ever said it would be this hard Oh, take me back to the start I was just guessing at numbers and figures Pulling the puzzles apart Questions of science, science and progress Do not speak as loud as my heart Tell me you love me, come back and haunt me Oh, and I rush to the start Running in circles, chasing our tails Coming back as we are Nobody said it was easy Oh, it's such a shame for us to part Nobody said it was easy No one ever said it would be so hard I'm going back to the start"
65,66,Pedro Infante,Cien Años,https://www.letras.com/pedro-infante/421497/,15 Inmortales de Pedro Infante,ranchera,es,139259.0,"Pasaste a mi lado Con gran indiferencia Tus ojos ni siquiera Voltearon hacia mí Te vi sin que me vieras Te hablé sin que me oyeras Y toda mi amargura Se ahogó dentro de mí Me duele hasta la vida Saber que me olvidaste Pensar que ni desprecios Merezca, yo, de ti Y, sin embargo, sigues Unida a mi existencia Y si vivo cien años Cien años, pienso en ti Pasaste a mi lado Con gran indiferencia Tus ojos ni siquiera Voltearon hacia mí Te vi sin que me vieras Te hablé sin que me oyeras Y toda mi amargura Se ahogó dentro de mí Me duele hasta la vida Saber que me olvidaste Pensar que ni desprecios Merezca, yo, de ti Y, sin embargo, sigues Unida a mi existencia Y si vivo cien años Cien años, pienso en ti"
66,67,Foster The People,Pumped Up Kicks,https://www.letras.com/foster-the-people/1721159/,Torches,indie,en,683254.0,"Robert's got a quick hand He'll look around the room, he won't tell you his plan He's got a rolled cigarette Hanging out his mouth, he's a cowboy kid Yeah, he found a six-shooter gun In his dad's closet, oh, in a box of fun things I don't even know what But he's coming for you, yeah, he's coming for you All the other kids with the pumped up kicks You better run, better run, outrun my gun All the other kids with the pumped up kicks You better run, better run faster than my bullet All the other kids with the pumped up kicks You better run, better run, outrun my gun All the other kids with the pumped up kicks You better run, better run faster than my bullet Daddy works a long day He be coming home late, and he's coming home late And he's bringing me a surprise 'Cause dinner's in the kitchen and it's packed in ice I've waited for a long time Yeah, the sleight of my hand is now a quick-pull trigger I reason with my cigarette And say: Your hair's on fire, you must've lost your wits, yeah All the other kids with the pumped up kicks You better run, better run, outrun my gun All the other kids with the pumped up kicks You better run, better run faster than my bullet All the other kids with the pumped up kicks You better run, better run, outrun my gun All the other kids with the pumped up kicks You better run, better run faster than my bullet (Run, run, run, run) (Run, run, run, run, run, run) (Run, run, run, run, run, run) (Run, run, run, run) (Run, run, run, run, run) All the other kids with the pumped up kicks You better run, better run, outrun my gun All the other kids with the pumped up kicks You better run, better run faster than my bullet All the other kids with the pumped up kicks You better run, better run, outrun my gun All the other kids with the pumped up kicks You better run, better run faster than my bullet All the other kids with the pumped up kicks You better run, better run, outrun my gun All the other kids with the pumped up kicks You better run, better run faster than my bullet All the other kids with the pumped up kicks You better run, better run, outrun my gun All the other kids with the pumped up kicks You better run, better run faster than my bullet"
67,68,Coldplay,Fix You,https://www.letras.com/coldplay/183253/,X & Y,poprock,en,608709.0,"When you try your best, but you don't succeed When you get what you want, but not what you need When you feel so tired, but you can't sleep Stuck in reverse And the tears come streaming down your face When you lose something you can't replace When you love someone, but it goes to waste Could it be worse? Lights will guide you home And ignite your bones And I will try to fix you And high up above or down below When you're too in love to let it go But if you never try, you'll never know Just what you're worth Lights will guide you home And ignite your bones And I will try to fix you Tears stream down your face When you lose something you cannot replace Tears stream down your face And I Tears stream down your face I promise you, I'll learn from my mistakes Tears stream down your face And I Lights will guide you home And ignite your bones And I will try to fix you"
68,69,Canciones Religiosas,Una Madre No Se Cansa de Esperar (Hoy He Vuelto),https://www.letras.com/canciones-religiosas/hoy-he-vuelto/,,gospelreligioso,es,312161.0,"Cuántas veces siendo niño te recé Con mis besos, te decía que te amaba Poco a poco, con el tiempo, alejándome de Ti Por caminos que se alejan, me perdí Por caminos que se alejan, me perdí Y hoy he vuelto, madre, a recordar Cuántas cosas dije ante tu altar Y al rezarte puedo comprender Que una madre no se cansa de esperar Que una madre no se cansa de esperar Al regreso, me encendías una luz Sonriendo desde lejos, me esperabas En la mesa, la comida aún caliente y el mantel Y tu abrazo es mi alegría de volver Y tu abrazo es mi alegría de volver Y hoy he vuelto, madre, a recordar Cuántas cosas dije ante tu altar Y al rezarte puedo comprender Que una madre no se cansa de esperar Que una madre no se cansa de esperar Aunque el hijo se alejara del hogar Una madre siempre espera su regreso El regalo más hermoso que a los hijos da el Señor Es su madre y el milagro de su amor Es su madre y el milagro de su amor Y hoy he vuelto, madre, a recordar Cuántas cosas dije ante tu altar Y al rezarte puedo comprender Que una madre no se cansa de esperar Que una madre no se cansa de esperar"
69,70,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),https://www.letras.com/justin-bieber/peaches-feat-daniel-caesar-e-giveon/,Justice (Triple Chucks Deluxe),pop,en,210124.0,"I got my peaches out in Georgia (oh, yeah, shit) I get my weed from California (that's that shit) I took my chick up to the North, yeah (bad-ass bitch) I get my light right from the source, yeah (yeah, that’s it) And I see you (oh) The way I breathe you in (in) It's the texture of your skin I wanna wrap my arms around you, baby Never let you go, oh And I say, oh There's nothing like your touch It’s the way you lift me up Yeah, and I'll be right here with you till the end of time I got my peaches out in Georgia (oh, yeah, shit) I get my weed from California (that's that shit) I took my chick up to the North, yeah (bad-ass bitch) I get my light right from the source, yeah (yeah, that's it) You ain't sure yet, but I'm for ya All I can want, all I can wish for Nights alone that we miss more And days we save as souvenirs There's no time, I wanna make more time And give you my whole life I left my girl, I'm in my Yorker Hate to leave her, call it torture Remember when I couldn't hold her Left the baggage for Rimowa I got my peaches out in Georgia (oh, yeah, shit) I get my weed from California (that's that shit) I took my chick up to the North, yeah (bad-ass bitch) I get my light right from the source, yeah (yeah, that’s it) I get the feeling, so I'm sure (sure) Hand in my hand because I'm yours (I can't) I can't pretend, I can't ignore, you're right for me Don't think you wanna know just where I've been, ohh Don't be distracted The one I need is right in my arms (oh) Your kisses taste the sweetest with mine And I'll be right here with you till the end of time I got my peaches out in Georgia (oh, yeah, shit) I get my weed from California (that's that shit) I took my chick up to the North, yeah (bad-ass bitch) I get my light right from the source, yeah (yeah, that's it) I got my peaches out in Georgia (oh, yeah, shit) I get my weed from California (that's that shit) I took my chick up to the North, yeah (bad-ass bitch) (I get my light right from the source, yeah, yeah, that's it) I got my peaches out in Georgia (oh, yeah, shit) I get my weed from California (that's that shit) I took my chick up to the North, yeah (bad-ass bitch) I get my light right from the source, yeah (yeah, that's it) I got my peaches out in Georgia (oh, yeah, shit) I get my weed from California (that's that shit) I took my chick up to the North, yeah (bad-ass bitch) I get my light right from the source, yeah (yeah, that's it)"
70,71,ABBA,Chiquitita (Spanish Version),https://www.letras.com/abba/chiquitita-spanish-version/,Gracias Por La Música,disco,es,289274.0,"Chiquitita, dime por qué Tu dolor hoy te encadena En tus ojos hay Una sombra de gran pena No quisiera verte así Aunque quieras disimularlo Si es que tan triste estás ¿Para qué quieres callarlo? Chiquitita, dímelo tú En mi hombro, aquí llorando Cuenta conmigo ya Para así seguir andando Tan segura te conocí Y ahora tu ala quebrada (Qué vacío, me duele verte llorar) Déjamela arreglar, yo la quiero ver curada Chiquitita, sabes muy bien Que las penas vienen y van y desaparecen Otra vez vas a bailar y serás feliz Como flores que florecen Chiquitita, no hay que llorar Las estrellas brillan por ti allá en lo alto Quiero verte sonreír para compartir Tu alegría, chiquitita Otra vez quiero compartir Tu alegría, chiquitita Chiquitita, dime por qué Tu dolor hoy te encadena En tus ojos hay Una sombra de gran pena No quisiera verte así Aunque quieras disimularlo Si es que tan triste estás ¿Para qué quieres callarlo? Chiquitita, sabes muy bien Que las penas vienen y van y desaparecen Otra vez vas a bailar y serás feliz Como flores que florecen Chiquitita, no hay que llorar Las estrellas brillan por ti allá en lo alto Quiero verte sonreír para compartir Tu alegría, chiquitita Otra vez quiero compartir Tu alegría, chiquitita Otra vez quiero compartir Tu alegría, chiquitita"
71,72,Marcos Brunet,Cristo Jesús Eres Mi Plenitud (Si Te Tengo a Ti),https://www.letras.com/marcos-brunet/cristo-jesus-eres-mi-plenitud/,,gospelreligioso,es,202212.0,"Porque si el Señor te va a sanar Si el Señor te va a restaurar No es para que te sientas bien Es porque tienes un propósito eterno En Cristo Jesús que cumplir en esta tierra Y Él te necesita sano, te necesita entero Te necesita completo Cristo Jesús, eres mi plenitud Cristo Jesús, eres mi plenitud Cristo Jesús, eres mi plenitud Cristo Jesús, eres mi plenitud Declaramos Cristo Jesús, eres mi plenitud Cristo Jesús, eres mi plenitud Si te tengo a ti, lo tengo todo Mi amado, mi tesoro Fuera de ti, nada deseo, Señor Si te tengo a ti, lo tengo todo Mi amado, mi tesoro Fuera de ti, nada deseo, Señor Si te tengo a ti, lo tengo todo Mi amado, mi tesoro Fuera de ti, nada deseo, Señor Cantamos juntos, si te tengo Si te tengo a ti, lo tengo todo Mi amado, mi tesoro Fuera de ti, nada deseo Una generación que se satisface en Cristo Jesús Somos completos en Cristo Jesús Nada nos hace falta en Cristo Jesús Fuera de ti, nada deseo, Señor Si te tengo a ti, lo tengo todo Mi amado, mi tesoro Fuera de ti, nada deseo, Señor Si te tengo a ti, lo tengo todo Mi amado, mi tesoro Fuera de ti, nada deseo Los deseos se enfocan en Cristo Jesús Canta, Iglesia (Si te tengo a ti, lo tengo todo) (Mi amado, mi tesoro) (Fuera de ti, nada deseo, Señor) Cristo Jesús, eres mi plenitud Cristo Jesús, eres mi plenitud Solo las familias cantando Y si te tengo a ti, lo tengo todo (Mi amado, mi tesoro) Fuera de ti, nada deseo, Señor Si te tengo a ti, (lo tengo todo) (Mi amado, mi tesoro) (Fuera de ti, nada deseo, Señor) Señor, que ninguno se pierda Que todos se arrepientan Llamamos todos, Señor, a la restauración en Cristo Jesús Que corran a la gracia y a la misericordia Que hagan de la gracia un trono en su interior Una gracia que perdona, una gracia que se reconcilia Un amor que no busca lo suyo, un amor que no se ofende fácilmente Que no lleva registros de las ofensas recibidas Un amor que no se goza de la injusticia Sino que solo se alegra con la verdad Nos alegramos con la verdad Nuestra familia está fundada en la roca que es Cristo Podrán venir cientos de tempestades Pero las familias seguirán firmes En nuestra plenitud que es Cristo Jesús Podemos perder lo material, podemos perder lo circunstancial Pero si te tenemos a Ti, lo tenemos todo, Señor Lo declaramos y lo vivimos Lo declaramos y lo vivimos Esa leve y momentánea tribulación no se compara Al mayor y eterno peso de gloria que se produce Cristo en nosotros, la esperanza de gloria Oh, Señor Escucha el clamor de cada familia aquí Si te tengo a ti, lo tengo todo Mi amado, mi tesoro Fuera de ti, nada deseo, Señor"
72,73,Taylor Swift,Enchanted,https://www.letras.com/taylor-swift/1763892/,Speak Now (Deluxe),pop,en,121510.0,"There I was again tonight Forcing laughter, faking smiles Same old tired, lonely place Walls of insincerity Shifting eyes and vacancy Vanished when I saw your face All I can say is it was Enchanting to meet you Your eyes whispered: Have we met? 'Cross the room your silhouette Starts to make its way to me The playful conversation starts Counter all your quick remarks like Passing notes in secrecy And it was Enchanting to meet you All I can say is I was Enchanted to meet you This night is sparkling Don't you let it go I'm wonderstruck Blushing all the way home I'll spend forever Wondering if you knew I was enchanted to meet you The lingering question kept me up 2 AM, who do you love? I wonder 'til I'm wide awake And now I'm pacing back and forth Wishing you were at my door, I'd Open up and you would say Hey, it was enchanting to meet you All I know is I was Enchanted to meet you This night is sparkling Don't you let it go I'm wonderstruck Blushing all the way home I'll spend forever Wondering if you knew This night is flawless Don't you let it go I'm wonderstruck Dancing around all alone I'll spend forever Wondering if you knew I was enchanted to meet you This is me praying that This was the very first page Not where the storyline ends My thoughts will echo your name Until I see you again These are the words I held back As I was leaving too soon I was enchanted to meet you Please, don't be in love with someone else Please, don't have somebody waiting on you Please, don't be in love with someone else Please, don't have somebody waiting on you (oh) This night is sparkling Don't you let it go I'm wonderstruck Blushing all the way home I'll spend forever Wondering if you knew This night is flawless Don't you let it go I'm wonderstruck Dancing around all alone I'll spend forever Wondering if you knew I was enchanted to meet you Please, don't be in love with someone else Please, don't have somebody waiting on you"
73,74,New West,Those Eyes,https://www.letras.com/new-west/those-eyes/,Call Me When You Hear This Song,indie,en,102357.0,"When we're out in a crowd, laughing loud, and nobody knows why When we're lost at a club, getting drunk, and you give me that smile Going home in the back of a car and your hand touches mine When we're done making love and you look up and give me those eyes 'Cause all of the small things that you do Are what remind me why I fell for you And when we're apart and I'm missing you I close my eyes and all I see is you And the small things you do When you call me at night while you're out getting high with your friends (Out with your friends) Every hi, every bye, every I love you you've ever said (You've ever said) 'Cause all of the small things that you do Are what remind me why I fell for you And when we're apart and I'm missing you I close my eyes and all I see is you And the small things you do When we're done making love and you look up and give me those eyes 'Cause all of the small things that you do Are what remind me why I fell for you And when we're apart and I'm missing you I close my eyes and all I see is you And the small things you do All the small things you do"
74,75,El Reino Infantil,El Pollito Pío,https://www.letras.com/reino-ifantil/el-pollito-pio/,,infantil,es,317999.0,"En la radio, hay un pollito En la radio, hay un pollito El pollito pío, el pollito pío El pollito pío, el pollito pío El pollito pío, el pollito pío En la radio, hay una gallina En la radio, hay una gallina Y la gallina coo, y el pollito pío Y el pollito pío, y el pollito pío Y el pollito pío, y el pollito pío En la radio, hay también un gallo En la radio, hay también un gallo Y el gallo corococo, y la gallina coo Y el pollito pío, el pollito pío El pollito pío, el pollito pío En la radio, hay un pavo En la radio, hay un pavo Y el pavo glugluglu, y el gallo corococo Y la gallina coo, y el pollito pío Y el pollito pío, y el pollito pío En la radio, hay una paloma En la radio, hay una paloma Y la paloma ruuu, el pavo glugluglu El gallo corococo, y la gallina coo El pollito pío, el pollito pío Y el pollito pío, y el pollito pío En la radio, hay también un gato En la radio, hay también un gato Y el gato miao, la paloma ruuu El pavo glugluglu, el gallo corococo Y la gallina coo, y el pollito pío El pollito pío, y el pollito pío En la radio, hay también un perro En la radio, hay también un perro Y el perro guau guau, el gato miao La paloma ruu, el pavo glugluglu El gallo cocoroco, y la gallina coo Y el pollito pío, y el pollito pío Y el pollito pío, y el pollito pío En la radio, hay una cabra En la radio, hay una cabra Y la cabra mee, el perro guau guau El gato miao, y la paloma ruu El pavo glugluglu, el gallo cocoroco Y la gallina coo, y el pollito pío Y el pollito pío, y el pollito pío En la radio, hay un cordero En la radio, hay un cordero Y el cordero bee, y la cabra mee El perro guau guau, el gato miao La paloma ruu, el pavo glugluglu El gallo cocoroco, y la gallina coo Y el pollito pío, y el pollito pío Y el pollito pío, y el pollito pío En la radio, hay una vaca En la radio, hay una vaca Y la vaca moo, y el cordero bee Y la cabra mee, el perro guau guau El gato miao, y la paloma ruu El pavo glugluglu, el gallo cocoroco Y la gallina coo, y el pollito pío Y el pollito pío, y el pollito pío Y el pollito pío, y el pollito pío En la radio, hay también un toro En la radio, hay también un toro Y el toro muu, y la vaca moo Y el cordero bee, y la cabra mee El perro guau guau, el gato miao La paloma ruu, el pavo glugluglu El gallo cocoroco, y la gallina coo Y el pollito pío, y el pollito pío Y el pollito pío, y el pollito pío En la radio, hay un tractor En la radio, hay un tractor Y el tractor brum, y el tractor brum Y el tractor brum y el pollito oh-oh"
75,76,Sia,Unstoppable,https://www.letras.com/sia/unstoppable/,This Is Acting (Deluxe Edition),pop,en,250313.0,"I'll smile, I know what it takes to fool this town I'll do it till the Sun goes down and all through the night time Oh, yeah, oh, yeah, I'll tell you what you wanna hear Leave my sunglasses on while I shed a tear It's never the right time, yeah, yeah I put my armor on, show you how strong I am I put my armor on, I'll show you that I am I'm unstoppable I'm a Porsche with no brakes I'm invincible Yeah, I win every single game I'm so powerful I don't need batteries to play I'm so confident, yeah, I'm unstoppable today Unstoppable today, unstoppable today Unstoppable today, I'm unstoppable today Break down, only alone I will cry out now You'll never see what's hiding out Hiding out deep down, yeah, yeah I know, I've heard that to let your feelings show Is the only way to make friendships grow But I'm too afraid now, yeah, yeah I put my armor on, show you how strong I am I put my armor on, I'll show you that I am I'm unstoppable I'm a Porsche with no brakes I'm invincible Yeah, I win every single game I'm so powerful I don't need batteries to play I'm so confident, yeah, I'm unstoppable today Unstoppable today, unstoppable today Unstoppable today, I'm unstoppable today Unstoppable today, unstoppable today Unstoppable today, I'm unstoppable today I put my armor on, show you how strong I am I put my armor on, I'll show you that I am I'm unstoppable I'm a Porsche with no brakes I'm invincible Yeah, I win every single game I'm so powerful I don't need batteries to play I'm so confident, yeah, I'm unstoppable today Unstoppable today, unstoppable today Unstoppable today, I'm unstoppable today Unstoppable today, unstoppable today Unstoppable today, I'm unstoppable today"
76,77,Elton John,I'm Still Standing,https://www.letras.com/elton-john/20115/,Too Low For Zero,pop,en,329553.0,"You could never know what it's like Your blood like winter, freezes just like ice And there's a cold, lonely light that shines from you You'll wind up like the wreck you hide behind that mask you use And did you think this fool could never win? Well, look at me, I'm coming back again I got a taste of love in a simple way And if you need to know, while I'm still standing, you just fade away Don't you know I'm still standing better than I ever did? Looking like a true survivor, feeling like a little kid I'm still standing after all this time Picking up the pieces of my life, without you on my mind I'm still standing, yeah, yeah, yeah I'm still standing, yeah, yeah, yeah Once, I never could hope to win You starting down the road, leaving me again The threats you made were meant to cut me down And if our love was just a circus, you'd be a clown by now No, I'm still standing better than I ever did Looking like a true survivor, feeling like a little kid I'm still standing after all this time Picking up the pieces of my life without you on my mind I'm still standing, yeah, yeah, yeah I'm still standing, yeah, yeah, yeah Don't you know that I'm still standing better than I ever did? Looking like a true survivor, feeling like a little kid I'm still standing after all this time Picking up the pieces of my life without you on my mind I'm still standing, yeah, yeah, yeah I'm still standing, yeah, yeah, yeah I'm still standing, yeah, yeah, yeah I'm still standing, yeah, yeah, yeah"
77,78,River Plate,Decime Boca Qué Pasó En Mar del Plata,https://www.letras.com/river-plate/1882287/,,marchas-hinos,es,76584.0,"Decíme, Boca ¿Qué paso en Mar del Plata? Que no te dio la nafta No pudiste aguantar Con esos gordos Que se la dan de guapos Vieron a Los Borrachos Y se fueron para atrás Ay, qué vergüenza A los que se plantaron Los dejaste tirados Corriste sin parar Por eso, vos sos un cagón La mentira se acabó Qué paliza que te dieron Los Borrachos del Tablón Vos sos un cagón La mentira se acabó Estos sí son Los Borrachos Los que te corren a vos"
78,79,Alicia Keys,If I Ain't Got You,https://www.letras.com/alicia-keys/82490/,The Diary Of Alicia Keys,rb,en,234931.0,"Some people live for the fortune Some people live just for the fame Some people live for the power, yeah Some people live just to play the game Some people think that the physical things Define what's within And I've been there before, but that life's a bore So full of the superficial Some people want it all But I don't want nothing at all If it ain't you, baby If I ain't got you, baby Some people want diamond rings Some just want everything But everything means nothing If I ain't got you, yeah Some people search for a fountain That promises forever young Some people need three dozen roses And that's the only way to prove you love them Hand me the world on a silver platter And what good would it be? With no one to share With no one who truly cares for me Some people want it all But I don't want nothing at all If it ain't you, baby If I ain't got you, baby Some people want diamond rings Some just want everything But everything means nothing If I ain't got you, you, you Some people want it all But I don't want nothing at all If it ain't you, baby If I ain't got you, baby Some people want diamond rings Some just want everything But everything means nothing If I ain't got you, yeah"
79,80,Elvis Presley,Can't Help Falling In Love,https://www.letras.com/elvis-presley/31391/,Blue Hawaii,rockabilly,en,686332.0,"Wise men say Only fools rush in But I can't help Falling in love with you Shall I stay? Would it be a sin? If I can't help Falling in love with you? Like a river flows Surely to the sea Darling, so it goes Some things are meant to be Take my hand Take my whole life too For I can't help Falling in love with you Like a river flows Surely to the sea Darling, so it goes Some things are meant to be Take my hand Take my whole life too For I can't help Falling in love with you For I can't help Falling in love with you"
80,81,Keane,Somewhere Only We Know,https://www.letras.com/keane/99293/,Hopes And Fears,alternativo,en,348309.0,"I walked across an empty land I knew the pathway like the back of my hand I felt the earth beneath my feet Sat by the river and it made me complete Oh, simple thing, where have you gone? I'm getting old and I need something to rely on So tell me when you're gonna let me in I'm getting tired and I need somewhere to begin I came across a fallen tree I felt the branches of it looking at me Is this the place we used to love? Is this the place that I've been dreaming of? Oh, simple thing, where have you gone I'm getting old and I need something to rely on So tell me when you're gonna let me in I'm getting tired and I need somewhere to begin And if you have a minute why don't we go Talk about it somewhere only we know? This could be the end of everything So why don't we go Somewhere only we know? (Somewhere only we know) Oh, simple thing, where have you gone? I'm getting old and I need something to rely on So tell me when you gonna let me in I'm getting tired and I need somewhere to begin And if you have a minute why don't we go Talk about it somewhere only we know? This could be the end of everything So why don't we go So why don't we go This could be the end of everything So why don't we go Somewhere only we know? Somewhere only we know? Somewhere only we know?"
81,82,Ricchi e Poveri,Sarà Perché Ti Amo,https://www.letras.com/ricchi-poveri/660862/,,axe,it,68904.0,"Che confusione, sarà perché ti amo È un'emozione che cresce piano, piano Stringimi forte, e stammi più vicino Se ci sto bene, sarà perché ti amo Io canto al ritmo del dolce tuo respiro È primavera, sarà perché ti amo Cade una stella, ma dimmi dove siamo Che te ne frega, sarà perché ti amo E vola, vola si sa, sempre più in alto si va E vola, vola con me, il mondo è matto perché E se l'amore non c'è Basta una sola canzone, per far confusione Fuori e dentro di te E vola, vola si va, sempre più in alto si va E vola, vola con me, il mondo è matto perché E se l'amore non c'è Basta una sola canzone, per far confusione Fuori e dentro di te Ma dopo tutto, che cosa c'è di strano È una canzone, sarà perché ti amo Se cade il mondo, allora ci spostiamo Se cade il mondo, sarà perché ti amo Stringimi forte, e stammi più vicino È così bello, che non mi sembra vero Se il mondo è matto che cosa c'è di strano Matto per matto, almeno noi ci amiamo! E vola, vola si sa, sempre più in alto si va E vola, vola con me, il mondo è matto perché E se l'amore non c'è Basta una sola canzone, per far confusione Fuori e dentro di te E vola, vola si va, sarà perché ti amo E vola, vola com me e stammi più vicino E se l’amore non c’è? Ma dimmi dove siamo Che confusione! Sarà perché ti amo"
